"pos" "species" "readcounts" "cum_sum" "pal"
"1" 391 "A40" 0 0 1
"2" 392 "A40" 0 0 2
"3" 393 "A40" 0 0 3
"4" 394 "A40" 0 0 4
"5" 395 "A40" 0 0 5
"6" 396 "A40" 0 0 6
"7" 397 "A40" 0 0 7
"8" 398 "A40" 0 0 8
"9" 399 "A40" 0 0 9
"10" 400 "A40" 0 0 10
"11" 401 "A40" 0 0 11
"12" 402 "A40" 0 0 12
"13" 403 "A40" 0 0 13
"14" 404 "A40" 0 0 14
"15" 405 "A40" 0 0 15
"16" 406 "A40" 380 0.0696736340300697 16
"17" 407 "A40" 322 0.128712871287129 17
"18" 408 "A40" 0 0.128712871287129 18
"19" 409 "A40" 0 0.128712871287129 19
"20" 410 "A40" 0 0.128712871287129 20
"21" 411 "A40" 0 0.128712871287129 21
"22" 412 "A40" 359 0.194536120278695 22
"23" 413 "A40" 387 0.265493215988265 23
"24" 414 "A40" 817 0.415291529152915 24
"25" 415 "A40" 390 0.486798679867987 25
"26" 416 "A40" 0 0.486798679867987 26
"27" 417 "A40" 0 0.486798679867987 27
"28" 418 "A40" 393 0.558855885588559 28
"29" 419 "A40" 0 0.558855885588559 29
"30" 420 "A40" 0 0.558855885588559 30
"31" 421 "A40" 0 0.558855885588559 31
"32" 422 "A40" 0 0.558855885588559 32
"33" 423 "A40" 494 0.649431609827649 33
"34" 424 "A40" 325 0.709020902090209 34
"35" 425 "A40" 1102 0.911074440777411 35
"36" 426 "A40" 0 0.911074440777411 36
"37" 427 "A40" 0 0.911074440777411 37
"38" 428 "A40" 485 1 38
"39" 429 "A40" 0 1 39
"40" 430 "A40" 0 1 40
"41" 431 "A40" 0 1 41
"42" 432 "A40" 0 1 42
"43" 433 "A40" 0 1 43
"44" 434 "A40" 0 1 44
"45" 435 "A40" 0 1 45
"46" 436 "A40" 0 1 46
"47" 437 "A40" 0 1 47
"48" 438 "A40" 0 1 48
"49" 439 "A40" 0 1 49
"50" 440 "A40" 0 1 50
"51" 441 "A40" 0 1 51
"52" 442 "A40" 0 1 52
"53" 443 "A40" 0 1 53
"54" 444 "A40" 0 1 54
"55" 445 "A40" 0 1 55
"56" 446 "A40" 0 1 56
"57" 447 "A40" 0 1 57
"58" 448 "A40" 0 1 58
"59" 449 "A40" 0 1 59
"60" 450 "A40" 0 1 60
"61" 451 "A40" 0 1 61
"62" 452 "A40" 0 1 62
"63" 453 "A40" 0 1 63
"64" 454 "A40" 0 1 64
"65" 455 "A40" 0 1 65
"66" 456 "A40" 0 1 66
"67" 457 "A40" 0 1 67
"68" 458 "A40" 0 1 68
"69" 459 "A40" 0 1 69
"70" 460 "A40" 0 1 70
"71" 461 "A40" 0 1 71
"72" 462 "A40" 0 1 72
"73" 463 "A40" 0 1 73
"74" 464 "A40" 0 1 74
"75" 465 "A40" 0 1 75
"76" 466 "A40" 0 1 76
"77" 467 "A40" 0 1 77
"78" 468 "A40" 0 1 78
"79" 469 "A40" 0 1 79
"80" 470 "A40" 0 1 80
"81" 471 "A40" 0 1 81
"82" 472 "A40" 0 1 82
"83" 473 "A40" 0 1 83
"84" 474 "A40" 0 1 84
"85" 475 "A40" 0 1 85
"86" 476 "A40" 0 1 86
"87" 477 "A40" 0 1 87
"88" 478 "A40" 0 1 88
"89" 479 "A40" 0 1 89
"90" 480 "A40" 0 1 90
"91" 481 "A40" 0 1 91
"92" 482 "A40" 0 1 92
"93" 483 "A40" 0 1 93
"94" 484 "A40" 0 1 94
"95" 485 "A40" 0 1 95
"96" 486 "A40" 0 1 96
"97" 487 "A40" 0 1 97
"98" 488 "A40" 0 1 98
"99" 489 "A40" 0 1 99
"100" 490 "A40" 0 1 100
"101" 491 "A40" 0 1 101
"102" 492 "A40" 0 1 102
"103" 493 "A40" 0 1 103
"104" 494 "A40" 0 1 104
"105" 495 "A40" 0 1 105
"106" 496 "A40" 0 1 106
"107" 497 "A40" 0 1 107
"108" 498 "A40" 0 1 108
"109" 499 "A40" 0 1 109
"110" 500 "A40" 0 1 110
"111" 501 "A40" 0 1 111
"112" 502 "A40" 0 1 112
"113" 503 "A40" 0 1 113
"114" 504 "A40" 0 1 114
"115" 505 "A40" 0 1 115
"116" 506 "A40" 0 1 116
"117" 507 "A40" 0 1 117
"118" 508 "A40" 0 1 118
"119" 509 "A40" 0 1 119
"120" 510 "A40" 0 1 120
"121" 511 "A40" 0 1 121
"122" 512 "A40" 0 1 122
"123" 513 "A40" 0 1 123
"124" 514 "A40" 0 1 124
"125" 515 "A40" 0 1 125
"126" 516 "A40" 0 1 126
"127" 517 "A40" 0 1 127
"128" 518 "A40" 0 1 128
"129" 519 "A40" 0 1 129
"130" 520 "A40" 0 1 130
"131" 521 "A40" 0 1 131
"132" 522 "A40" 0 1 132
"133" 523 "A40" 0 1 133
"134" 524 "A40" 0 1 134
"135" 525 "A40" 0 1 135
"136" 526 "A40" 0 1 136
"137" 527 "A40" 0 1 137
"138" 528 "A40" 0 1 138
"139" 529 "A40" 0 1 139
"140" 530 "A40" 0 1 140
"141" 531 "A40" 0 1 141
"142" 532 "A40" 0 1 142
"143" 533 "A40" 0 1 143
"144" 534 "A40" 0 1 144
"145" 535 "A40" 0 1 145
"146" 536 "A40" 0 1 146
"147" 537 "A40" 0 1 147
"148" 538 "A40" 0 1 148
"149" 539 "A40" 0 1 149
"150" 540 "A40" 0 1 150
"151" 541 "A40" 0 1 151
"152" 542 "A40" 0 1 152
"153" 543 "A40" 0 1 153
"154" 544 "A40" 0 1 154
"155" 545 "A40" 0 1 155
"156" 546 "A40" 0 1 156
"157" 547 "A40" 0 1 157
"158" 548 "A40" 0 1 158
"159" 549 "A40" 0 1 159
"160" 550 "A40" 0 1 160
"161" 551 "A40" 0 1 161
"162" 552 "A40" 0 1 162
"163" 553 "A40" 0 1 163
"164" 554 "A40" 0 1 164
"165" 555 "A40" 0 1 165
"166" 556 "A40" 0 1 166
"167" 557 "A40" 0 1 167
"168" 558 "A40" 0 1 168
"169" 559 "A40" 0 1 169
"170" 560 "A40" 0 1 170
"171" 561 "A40" 0 1 171
"172" 562 "A40" 0 1 172
"173" 563 "A40" 0 1 173
"174" 564 "A40" 0 1 174
"175" 565 "A40" 0 1 175
"176" 566 "A40" 0 1 176
"177" 567 "A40" 0 1 177
"178" 568 "A40" 0 1 178
"179" 569 "A40" 0 1 179
"180" 570 "A40" 0 1 180
"181" 571 "A40" 0 1 181
"182" 572 "A40" 0 1 182
"183" 573 "A40" 0 1 183
"184" 574 "A40" 0 1 184
"185" 575 "A40" 0 1 185
"186" 576 "A40" 0 1 186
"187" 577 "A40" 0 1 187
"188" 578 "A40" 0 1 188
"189" 579 "A40" 0 1 189
"190" 580 "A40" 0 1 190
"191" 581 "A40" 0 1 191
"192" 582 "A40" 0 1 192
"193" 583 "A40" 0 1 193
"194" 584 "A40" 0 1 194
"195" 585 "A40" 0 1 195
"196" 586 "A40" 0 1 196
"197" 587 "A40" 0 1 197
"198" 588 "A40" 0 1 198
"199" 589 "A40" 0 1 199
"200" 590 "A40" 0 1 200
"201" 591 "A40" 0 1 201
"202" 592 "A40" 0 1 202
"203" 593 "A40" 0 1 203
"204" 594 "A40" 0 1 204
"205" 595 "A40" 0 1 205
"206" 596 "A40" 0 1 206
"207" 597 "A40" 0 1 207
"208" 598 "A40" 0 1 208
"209" 599 "A40" 0 1 209
"210" 600 "A40" 0 1 210
"211" 601 "A40" 0 1 211
"212" 602 "A40" 0 1 212
"213" 603 "A40" 0 1 213
"214" 604 "A40" 0 1 214
"215" 605 "A40" 0 1 215
"216" 606 "A40" 0 1 216
"217" 607 "A40" 0 1 217
"218" 608 "A40" 0 1 218
"219" 609 "A40" 0 1 219
"220" 610 "A40" 0 1 220
"221" 611 "A40" 0 1 221
"222" 612 "A40" 0 1 222
"223" 613 "A40" 0 1 223
"224" 614 "A40" 0 1 224
"225" 615 "A40" 0 1 225
"226" 616 "A40" 0 1 226
"227" 617 "A40" 0 1 227
"228" 618 "A40" 0 1 228
"229" 619 "A40" 0 1 229
"230" 620 "A40" 0 1 230
"231" 621 "A40" 0 1 231
"232" 622 "A40" 0 1 232
"233" 623 "A40" 0 1 233
"234" 624 "A40" 0 1 234
"235" 625 "A40" 0 1 235
"236" 626 "A40" 0 1 236
"237" 627 "A40" 0 1 237
"238" 628 "A40" 0 1 238
"239" 629 "A40" 0 1 239
"240" 630 "A40" 0 1 240
"241" 631 "A40" 0 1 241
"242" 632 "A40" 0 1 242
"243" 633 "A40" 0 1 243
"244" 634 "A40" 0 1 244
"245" 635 "A40" 0 1 245
"246" 636 "A40" 0 1 246
"247" 637 "A40" 0 1 247
"248" 638 "A40" 0 1 248
"249" 639 "A40" 0 1 249
"250" 640 "A40" 0 1 250
"251" 641 "A40" 0 1 251
"252" 642 "A40" 0 1 252
"253" 643 "A40" 0 1 253
"254" 644 "A40" 0 1 254
"255" 645 "A40" 0 1 255
"256" 646 "A40" 0 1 256
"257" 647 "A40" 0 1 257
"258" 648 "A40" 0 1 258
"259" 649 "A40" 0 1 259
"260" 650 "A40" 0 1 260
"261" 651 "A40" 0 1 261
"262" 652 "A40" 0 1 262
"263" 653 "A40" 0 1 263
"264" 654 "A40" 0 1 264
"265" 655 "A40" 0 1 265
"266" 656 "A40" 0 1 266
"267" 657 "A40" 0 1 267
"268" 658 "A40" 0 1 268
"269" 659 "A40" 0 1 269
"270" 660 "A40" 0 1 270
"271" 661 "A40" 0 1 271
"272" 662 "A40" 0 1 272
"273" 663 "A40" 0 1 273
"274" 664 "A40" 0 1 274
"275" 665 "A40" 0 1 275
"276" 666 "A40" 0 1 276
"277" 667 "A40" 0 1 277
"278" 668 "A40" 0 1 278
"279" 669 "A40" 0 1 279
"280" 670 "A40" 0 1 280
"281" 671 "A40" 0 1 281
"282" 672 "A40" 0 1 282
"283" 673 "A40" 0 1 283
"284" 674 "A40" 0 1 284
"285" 675 "A40" 0 1 285
"286" 676 "A40" 0 1 286
"287" 677 "A40" 0 1 287
"288" 678 "A40" 0 1 288
"289" 679 "A40" 0 1 289
"290" 680 "A40" 0 1 290
"291" 681 "A40" 0 1 291
"292" 682 "A40" 0 1 292
"293" 683 "A40" 0 1 293
"294" 684 "A40" 0 1 294
"295" 685 "A40" 0 1 295
"296" 686 "A40" 0 1 296
"297" 687 "A40" 0 1 297
"298" 688 "A40" 0 1 298
"299" 689 "A40" 0 1 299
"300" 690 "A40" 0 1 300
"301" 391 "A80" 0 0 1
"302" 392 "A80" 0 0 2
"303" 393 "A80" 0 0 3
"304" 394 "A80" 0 0 4
"305" 395 "A80" 0 0 5
"306" 396 "A80" 0 0 6
"307" 397 "A80" 0 0 7
"308" 398 "A80" 0 0 8
"309" 399 "A80" 0 0 9
"310" 400 "A80" 0 0 10
"311" 401 "A80" 0 0 11
"312" 402 "A80" 0 0 12
"313" 403 "A80" 0 0 13
"314" 404 "A80" 0 0 14
"315" 405 "A80" 0 0 15
"316" 406 "A80" 0 0 16
"317" 407 "A80" 0 0 17
"318" 408 "A80" 0 0 18
"319" 409 "A80" 0 0 19
"320" 410 "A80" 0 0 20
"321" 411 "A80" 0 0 21
"322" 412 "A80" 0 0 22
"323" 413 "A80" 0 0 23
"324" 414 "A80" 0 0 24
"325" 415 "A80" 0 0 25
"326" 416 "A80" 0 0 26
"327" 417 "A80" 0 0 27
"328" 418 "A80" 0 0 28
"329" 419 "A80" 0 0 29
"330" 420 "A80" 0 0 30
"331" 421 "A80" 0 0 31
"332" 422 "A80" 0 0 32
"333" 423 "A80" 0 0 33
